Series;Time;Value
Living Room Sensor;2016-09-02T02:37:10.000Z;25.4
Living Room Sensor;2016-09-02T02:37:20.000Z;null
Living Room Sensor;2016-09-02T02:37:30.000Z;null
Living Room Sensor;2016-09-02T02:37:40.000Z;null
Living Room Sensor;2016-09-02T02:37:50.000Z;null
Living Room Sensor;2016-09-02T02:38:00.000Z;null
Living Room Sensor;2016-09-02T02:38:10.000Z;null
Living Room Sensor;2016-09-02T02:38:20.000Z;null
Living Room Sensor;2016-09-02T02:38:30.000Z;null
Living Room Sensor;2016-09-02T02:38:40.000Z;null
Living Room Sensor;2016-09-02T02:38:50.000Z;null
Living Room Sensor;2016-09-02T02:39:00.000Z;null
Living Room Sensor;2016-09-02T02:39:10.000Z;25.2
Living Room Sensor;2016-09-02T02:39:20.000Z;null
Living Room Sensor;2016-09-02T02:39:30.000Z;null
Living Room Sensor;2016-09-02T02:39:40.000Z;null
Living Room Sensor;2016-09-02T02:39:50.000Z;null
Living Room Sensor;2016-09-02T02:40:00.000Z;null
Living Room Sensor;2016-09-02T02:40:10.000Z;null
Living Room Sensor;2016-09-02T02:40:20.000Z;null
Living Room Sensor;2016-09-02T02:40:30.000Z;null
Living Room Sensor;2016-09-02T02:40:40.000Z;null
Living Room Sensor;2016-09-02T02:40:50.000Z;null
Living Room Sensor;2016-09-02T02:41:00.000Z;null
Living Room Sensor;2016-09-02T02:41:10.000Z;25.1
Living Room Sensor;2016-09-02T02:41:20.000Z;null
Living Room Sensor;2016-09-02T02:41:30.000Z;null
Living Room Sensor;2016-09-02T02:41:40.000Z;null
Living Room Sensor;2016-09-02T02:41:50.000Z;null
Living Room Sensor;2016-09-02T02:42:00.000Z;null
Living Room Sensor;2016-09-02T02:42:10.000Z;null
Living Room Sensor;2016-09-02T02:42:20.000Z;null
Living Room Sensor;2016-09-02T02:42:30.000Z;null
Living Room Sensor;2016-09-02T02:42:40.000Z;null
Living Room Sensor;2016-09-02T02:42:50.000Z;null
Living Room Sensor;2016-09-02T02:43:00.000Z;null
Living Room Sensor;2016-09-02T02:43:10.000Z;24.9
Living Room Sensor;2016-09-02T02:43:20.000Z;null
Living Room Sensor;2016-09-02T02:43:30.000Z;null
Living Room Sensor;2016-09-02T02:43:40.000Z;null
Living Room Sensor;2016-09-02T02:43:50.000Z;null
Living Room Sensor;2016-09-02T02:44:00.000Z;null
Living Room Sensor;2016-09-02T02:44:10.000Z;null
Living Room Sensor;2016-09-02T02:44:20.000Z;null
Living Room Sensor;2016-09-02T02:44:30.000Z;null
Living Room Sensor;2016-09-02T02:44:40.000Z;null
Living Room Sensor;2016-09-02T02:44:50.000Z;null
Living Room Sensor;2016-09-02T02:45:00.000Z;null
Living Room Sensor;2016-09-02T02:45:10.000Z;null
Living Room Sensor;2016-09-02T02:45:20.000Z;null
Living Room Sensor;2016-09-02T02:45:30.000Z;null
Living Room Sensor;2016-09-02T02:45:40.000Z;null
Living Room Sensor;2016-09-02T02:45:50.000Z;null
Living Room Sensor;2016-09-02T02:46:00.000Z;null
Living Room Sensor;2016-09-02T02:46:10.000Z;null
Living Room Sensor;2016-09-02T02:46:20.000Z;null
Living Room Sensor;2016-09-02T02:46:30.000Z;null
Living Room Sensor;2016-09-02T02:46:40.000Z;null
Living Room Sensor;2016-09-02T02:46:50.000Z;null
Living Room Sensor;2016-09-02T02:47:00.000Z;null
Living Room Sensor;2016-09-02T02:47:10.000Z;null
Living Room Sensor;2016-09-02T02:47:20.000Z;24.8
Living Room Sensor;2016-09-02T02:47:30.000Z;null
Living Room Sensor;2016-09-02T02:47:40.000Z;null
Living Room Sensor;2016-09-02T02:47:50.000Z;null
Living Room Sensor;2016-09-02T02:48:00.000Z;null
Living Room Sensor;2016-09-02T02:48:10.000Z;null
Living Room Sensor;2016-09-02T02:48:20.000Z;null
Living Room Sensor;2016-09-02T02:48:30.000Z;null
Living Room Sensor;2016-09-02T02:48:40.000Z;null
Living Room Sensor;2016-09-02T02:48:50.000Z;null
Living Room Sensor;2016-09-02T02:49:00.000Z;null
Living Room Sensor;2016-09-02T02:49:10.000Z;null
Living Room Sensor;2016-09-02T02:49:20.000Z;24.7
Living Room Sensor;2016-09-02T02:49:30.000Z;null
Living Room Sensor;2016-09-02T02:49:40.000Z;null
Living Room Sensor;2016-09-02T02:49:50.000Z;null
Living Room Sensor;2016-09-02T02:50:00.000Z;null
Living Room Sensor;2016-09-02T02:50:10.000Z;null
Living Room Sensor;2016-09-02T02:50:20.000Z;null
Living Room Sensor;2016-09-02T02:50:30.000Z;null
Living Room Sensor;2016-09-02T02:50:40.000Z;null
Living Room Sensor;2016-09-02T02:50:50.000Z;null
Living Room Sensor;2016-09-02T02:51:00.000Z;null
Living Room Sensor;2016-09-02T02:51:10.000Z;null
Living Room Sensor;2016-09-02T02:51:20.000Z;24.8
Living Room Sensor;2016-09-02T02:51:30.000Z;null
Living Room Sensor;2016-09-02T02:51:40.000Z;null
Living Room Sensor;2016-09-02T02:51:50.000Z;null
Living Room Sensor;2016-09-02T02:52:00.000Z;null
Living Room Sensor;2016-09-02T02:52:10.000Z;null
Living Room Sensor;2016-09-02T02:52:20.000Z;null
Living Room Sensor;2016-09-02T02:52:30.000Z;null
Living Room Sensor;2016-09-02T02:52:40.000Z;null
Living Room Sensor;2016-09-02T02:52:50.000Z;null
Living Room Sensor;2016-09-02T02:53:00.000Z;null
Living Room Sensor;2016-09-02T02:53:10.000Z;null
Living Room Sensor;2016-09-02T02:53:20.000Z;25
Living Room Sensor;2016-09-02T02:53:30.000Z;null
Living Room Sensor;2016-09-02T02:53:40.000Z;null
Living Room Sensor;2016-09-02T02:53:50.000Z;null
Living Room Sensor;2016-09-02T02:54:00.000Z;null
Living Room Sensor;2016-09-02T02:54:10.000Z;null
Living Room Sensor;2016-09-02T02:54:20.000Z;null
Living Room Sensor;2016-09-02T02:54:30.000Z;null
Living Room Sensor;2016-09-02T02:54:40.000Z;null
Living Room Sensor;2016-09-02T02:54:50.000Z;null
Living Room Sensor;2016-09-02T02:55:00.000Z;null
Living Room Sensor;2016-09-02T02:55:10.000Z;null
Living Room Sensor;2016-09-02T02:55:20.000Z;25.2
Living Room Sensor;2016-09-02T02:55:30.000Z;null
Living Room Sensor;2016-09-02T02:55:40.000Z;null
Living Room Sensor;2016-09-02T02:55:50.000Z;null
